Trade_ID,Date,Symbol,Security_Type,Side,Quantity,Price,Notional,Trader_ID,Desk,Client_ID,Settlement_Date
TRD001,2024-07-15,AAPL,Equity,Buy,1500,225.50,338250,T001,Equity,C101,2024-07-17
TRD002,2024-07-15,MSFT,Equity,Sell,2000,420.75,841500,T002,Equity,C102,2024-07-17
TRD003,2024-07-15,US10Y,Fixed Income,Buy,5000000,98.25,4912500,T003,Fixed Income,C103,2024-07-16
TRD004,2024-07-15,TSLA,Equity,Buy,800,245.30,196240,T004,Equity,C104,2024-07-17
TRD005,2024-07-15,GOOGL,Equity,Sell,1200,175.85,211020,T001,Equity,C105,2024-07-17
TRD006,2024-07-15,SPY_240816C00450000,Options,Buy,50,12.50,62500,T005,Options,C106,2024-07-16
TRD007,2024-07-15,EURUSD,FX,Buy,10000000,1.0895,10895000,T006,FX,C107,2024-07-17
TRD008,2024-07-15,CORP_BOND_XYZ,Fixed Income,Sell,2000000,101.75,2035000,T003,Fixed Income,C108,2024-07-18
TRD009,2024-07-15,NVDA,Equity,Buy,600,118.25,70950,T002,Equity,C109,2024-07-17
TRD010,2024-07-15,QQQ_240816P00380000,Options,Sell,25,8.75,21875,T005,Options,C110,2024-07-16
TRD011,2024-07-14,AMZN,Equity,Sell,1800,185.40,333720,T004,Equity,C111,2024-07-16
TRD012,2024-07-14,GBPUSD,FX,Sell,8000000,1.2945,10356000,T006,FX,C112,2024-07-16
TRD013,2024-07-14,US2Y,Fixed Income,Buy,3000000,99.15,2974500,T003,Fixed Income,C113,2024-07-15
TRD014,2024-07-14,META,Equity,Buy,900,515.80,464220,T001,Equity,C114,2024-07-16
TRD015,2024-07-14,CL_SEP24,Futures,Sell,100,82.45,824500,T007,Commodities,C115,2024-07-15
