Report_Date,Firm_ID,Firm_Name,Total_Assets,Total_Liabilities,Net_Capital,Required_Capital,Excess_Capital,Customer_Credits,Customer_Debits,Securities_Owned,Securities_Sold_Not_Owned,Aggregate_Indebtedness,Net_Capital_Ratio
2024-03-31,BD001,Alpha Securities LLC,1250000000,950000000,300000000,45000000,255000000,185000000,142000000,425000000,380000000,525000000,0.57
2024-03-31,BD002,Beta Trading Corp,875000000,710000000,165000000,32000000,133000000,98000000,85000000,285000000,245000000,390000000,0.42
2024-03-31,BD003,Gamma Investment Group,2100000000,1650000000,450000000,78000000,372000000,325000000,298000000,680000000,625000000,780000000,0.58
2024-03-31,BD004,Delta Capital Partners,650000000,520000000,130000000,28000000,102000000,75000000,68000000,185000000,158000000,285000000,0.46
2024-03-31,BD005,Epsilon Financial Services,1850000000,1420000000,430000000,68000000,362000000,285000000,245000000,580000000,520000000,650000000,0.66
2024-03-31,BD006,Zeta Brokerage Inc,425000000,345000000,80000000,18000000,62000000,52000000,48000000,125000000,108000000,185000000,0.43
2024-03-31,BD007,Eta Securities Group,950000000,760000000,190000000,38000000,152000000,135000000,125000000,285000000,265000000,425000000,0.45
2024-03-31,BD008,Theta Investment Bank,3200000000,2580000000,620000000,125000000,495000000,485000000,452000000,980000000,920000000,1250000000,0.48
2024-03-31,BD009,Iota Trading Solutions,285000000,235000000,50000000,12000000,38000000,35000000,32000000,85000000,78000000,125000000,0.40
2024-03-31,BD010,Kappa Financial Corp,1450000000,1150000000,300000000,55000000,245000000,198000000,185000000,385000000,352000000,580000000,0.52
2024-02-29,BD001,Alpha Securities LLC,1225000000,935000000,290000000,45000000,245000000,178000000,138000000,415000000,375000000,515000000,0.56
2024-02-29,BD002,Beta Trading Corp,860000000,698000000,162000000,32000000,130000000,95000000,82000000,278000000,240000000,385000000,0.42
2024-02-29,BD003,Gamma Investment Group,2080000000,1635000000,445000000,78000000,367000000,318000000,292000000,675000000,618000000,775000000,0.57
2024-02-29,BD004,Delta Capital Partners,635000000,508000000,127000000,28000000,99000000,72000000,65000000,182000000,155000000,280000000,0.45
2024-02-29,BD005,Epsilon Financial Services,1825000000,1405000000,420000000,68000000,352000000,278000000,238000000,575000000,515000000,645000000,0.65
2024-01-31,BD001,Alpha Securities LLC,1195000000,915000000,280000000,45000000,235000000,172000000,135000000,408000000,368000000,505000000,0.55
2024-01-31,BD002,Beta Trading Corp,845000000,685000000,160000000,32000000,128000000,92000000,79000000,275000000,238000000,380000000,0.42
2024-01-31,BD003,Gamma Investment Group,2050000000,1610000000,440000000,78000000,362000000,312000000,285000000,665000000,610000000,765000000,0.58
2024-01-31,BD004,Delta Capital Partners,620000000,495000000,125000000,28000000,97000000,69000000,62000000,178000000,152000000,275000000,0.45
2024-01-31,BD005,Epsilon Financial Services,1800000000,1385000000,415000000,68000000,347000000,272000000,232000000,568000000,508000000,635000000,0.65
